Date,Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025,3:19:48 PM.18,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.87,3.54,0.00
4/7/2025,3:19:48 PM.69,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.89,3.57,0.00
4/7/2025,3:19:49 PM.18,27.4,38.1,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,14,-3.89,3.57,0.00
4/7/2025,3:19:49 PM.68,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.91,3.56,0.00
4/7/2025,3:19:50 PM.18,27.4,38.0,21.9,30.9,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.87,3.56,0.00
4/7/2025,3:19:50 PM.68,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.59,0.00
4/7/2025,3:19:51 PM.19,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,14,-3.84,3.57,0.00
4/7/2025,3:19:51,PM.69,27.4,38.0,21.9,30.9,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.84,3.58,0.00
4/7/2025,3:19:52,PM.19,27.4,38.0,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.55,0.00
4/7/2025,3:19:52,PM.69,27.4,38.0,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.84,3.54,0.00
4/7/2025,3:19:53,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.10,13,-3.84,3.57,0.00
4/7/2025,3:19:53,PM.68,27.4,38.0,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.89,3.54,0.00
4/7/2025,3:19:54,PM.19,27.4,38.0,21.8,30.8,0.1,7.5,0.0,0.1,0.0,0.0,0.09,13,-3.91,3.60,0.00
4/7/2025,3:19:54,PM.68,27.4,38.1,21.9,30.9,0.1,7.5,0.0,0.1,0.1,0.0,0.09,12,-3.87,3.57,0.00
4/7/2025,3:19:55,PM.19,27.4,38.0,21.8,30.9,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.85,3.61,0.00
4/7/2025,3:19:55,PM.69,27.4,38.0,21.9,30.9,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.85,3.60,0.00
4/7/2025,3:19:56,PM.19,27.4,38.0,21.8,30.9,0.1,7.5,0.0,0.1,0.1,0.0,0.09,13,-3.85,3.60,0.00
4/7/2025,3:19:56,PM.69,27.4,38.0,21.9,30.9,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.57,0.00
4/7/2025,3:19:57,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.87,3.58,0.00
4/7/2025,3:19:57,PM.69,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.56,0.00
4/7/2025,3:19:58,PM.18,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.08,13,-3.89,3.61,0.00
4/7/2025,3:19:58,PM.69,27.4,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.55,0.00
4/7/2025,3:19:59,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.85,3.55,0.00
4/7/2025,3:19:59,PM.68,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.84,3.57,0.00
4/7/2025,3:20:00,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.08,14,-3.85,3.62,0.00
4/7/2025,3:20:00,PM.69,27.4,38.0,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.08,13,-3.85,3.60,0.00
4/7/2025,3:20:01,PM.19,27.4,38.0,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.0,0.09,13,-3.85,3.60,0.00
4/7/2025,3:20:01,PM.69,27.4,38.0,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.89,3.61,0.00
4/7/2025,3:20:02,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,12,-3.84,3.65,0.00
4/7/2025,3:20:02,PM.69,27.4,38.0,21.8,30.9,0.1,7.6,0.0,0.1,0.1,0.0,0.08,13,-3.82,3.62,0.00
4/7/2025,3:20:03,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.80,3.63,0.00
4/7/2025,3:20:03,PM.69,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.08,13,-3.82,3.61,0.00
4/7/2025,3:20:04,PM.18,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.62,0.00
4/7/2025,3:20:04,PM.69,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.10,13,-3.82,3.58,0.00
4/7/2025,3:20:05,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.85,3.62,0.00
4/7/2025,3:20:05,PM.69,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,14,-3.84,3.60,0.00
4/7/2025,3:20:06,PM.18,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.82,3.63,0.00
4/7/2025,3:20:06,PM.69,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.85,3.60,0.00
4/7/2025,3:20:07,PM.19,27.4,38.0,21.8,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.60,0.00
4/7/2025,3:20:07,PM.68,27.4,38.0,21.9,30.8,0.1,7.5,0.0,0.1,0.0,0.1,0.09,13,-3.85,3.58,0.00
4/7/2025,3:20:08,PM.19,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.0,0.09,13,-3.85,3.55,0.00
4/7/2025,3:20:08,PM.69,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.82,3.56,0.00
4/7/2025,3:20:09,PM.19,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.58,0.00
4/7/2025,3:20:09,PM.69,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.58,0.00
4/7/2025,3:20:10,PM.19,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:10,PM.69,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:11,PM.19,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,12,-3.85,3.59,0.00
4/7/2025,3:20:11,PM.69,27.3,38.0,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.61,0.00
4/7/2025,3:20:12,PM.19,27.4,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.87,3.59,0.00
4/7/2025,3:20:12,PM.69,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.08,14,-3.85,3.57,0.00
4/7/2025,3:20:13,PM.19,27.4,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.87,3.59,0.00
4/7/2025,3:20:13,PM.69,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.56,0.00
4/7/2025,3:20:14,PM.18,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.54,0.00
4/7/2025,3:20:14,PM.69,27.3,37.9,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.54,0.00
4/7/2025,3:20:15,PM.19,27.3,37.9,21.9,30.8,0.1,7.5,0.0,0.1,0.0,0.1,0.09,13,-3.85,3.56,0.00
4/7/2025,3:20:15,PM.69,27.3,37.9,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.51,0.00
4/7/2025,3:20:16,PM.19,27.3,37.9,21.9,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.82,3.55,0.00
4/7/2025,3:20:16,PM.68,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.08,13,-3.84,3.55,0.00
4/7/2025,3:20:17,PM.19,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.82,3.52,0.00
4/7/2025,3:20:17,PM.69,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.84,3.55,0.00
4/7/2025,3:20:18,PM.19,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.54,0.00
4/7/2025,3:20:18,PM.69,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.56,0.00
4/7/2025,3:20:19,PM.19,27.3,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.57,0.00
4/7/2025,3:20:19,PM.69,27.2,37.9,21.9,30.8,0.1,7.6,0.0,0.1,0.2,0.1,0.09,13,-3.85,3.57,0.00
4/7/2025,3:20:20,PM.19,27.2,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.87,3.57,0.00
4/7/2025,3:20:20,PM.69,27.3,37.8,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:21,PM.19,27.3,37.9,21.8,30.8,0.1,7.5,0.0,0.1,0.0,0.1,0.08,13,-3.78,3.58,0.00
4/7/2025,3:20:21,PM.69,27.2,37.8,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.56,0.00
4/7/2025,3:20:22,PM.19,27.3,37.8,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.56,0.00
4/7/2025,3:20:22,PM.69,27.3,37.8,21.8,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,14,-3.82,3.56,0.00
4/7/2025,3:20:23,PM.18,27.4,37.9,22.0,30.8,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.78,3.58,0.00
4/7/2025,3:20:23,PM.68,27.3,37.8,21.8,30.7,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.54,0.00
4/7/2025,3:20:24,PM.19,27.4,37.9,22.0,30.8,0.1,7.6,0.0,0.1,0.1,0.1,0.08,13,-3.80,3.56,0.00
4/7/2025,3:20:24,PM.69,27.3,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.78,3.53,0.00
4/7/2025,3:20:25,PM.19,27.3,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.0,0.0,0.09,13,-3.80,3.61,0.00
4/7/2025,3:20:25,PM.68,27.2,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.10,13,-3.82,3.59,0.00
4/7/2025,3:20:26,PM.18,27.2,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.08,13,-3.80,3.59,0.00
4/7/2025,3:20:26,PM.69,27.2,37.7,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.82,3.59,0.00
4/7/2025,3:20:27,PM.19,27.2,37.7,21.7,30.7,0.1,7.5,0.0,0.1,0.0,0.1,0.09,14,-3.82,3.58,0.00
4/7/2025,3:20:27,PM.69,27.2,37.7,21.7,30.7,0.1,7.5,0.0,0.1,0.2,0.1,0.09,13,-3.82,3.59,0.00
4/7/2025,3:20:28,PM.19,27.2,37.7,21.8,30.7,0.1,7.6,0.0,0.1,0.0,0.1,0.09,12,-3.84,3.55,0.00
4/7/2025,3:20:28,PM.69,27.2,37.7,21.7,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.85,3.51,0.00
4/7/2025,3:20:29,PM.19,27.2,37.7,21.7,30.7,0.1,7.6,0.0,0.1,0.0,0.1,0.08,12,-3.82,3.58,0.00
4/7/2025,3:20:29,PM.69,27.2,37.7,21.7,30.7,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.82,3.58,0.00
4/7/2025,3:20:30,PM.18,27.2,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.85,3.59,0.00
4/7/2025,3:20:30,PM.69,27.2,37.8,21.7,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.54,0.00
4/7/2025,3:20:31,PM.18,27.2,37.8,21.8,30.7,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.82,3.54,0.00
4/7/2025,3:20:31,PM.69,27.1,37.8,21.7,30.6,0.1,7.6,0.0,0.1,0.0,0.1,0.09,13,-3.80,3.54,0.00
4/7/2025,3:20:32,PM.18,27.2,37.8,21.8,30.7,0.1,7.5,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.58,0.00
4/7/2025,3:20:32,PM.69,27.1,37.8,21.7,30.6,0.1,7.5,0.0,0.1,0.1,0.0,0.09,13,-3.80,3.57,0.00
4/7/2025,3:20:33,PM.19,27.3,37.8,21.8,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.57,0.00
4/7/2025,3:20:33,PM.69,27.1,37.8,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.59,0.00
4/7/2025,3:20:34,PM.19,27.3,37.8,21.7,30.7,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:34,PM.69,27.1,37.8,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.0,0.09,12,-3.78,3.61,0.00
4/7/2025,3:20:35,PM.19,27.2,37.7,21.7,30.7,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:35,PM.68,27.2,37.7,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.61,0.00
4/7/2025,3:20:36,PM.19,27.2,37.7,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.0,0.09,13,-3.84,3.59,0.00
4/7/2025,3:20:36,PM.69,27.1,37.7,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.10,13,-3.84,3.60,0.00
4/7/2025,3:20:37,PM.19,27.2,37.7,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.08,13,-3.82,3.58,0.00
4/7/2025,3:20:37,PM.69,27.1,37.7,21.6,30.6,0.1,7.6,0.0,0.1,0.1,0.1,0.09,13,-3.80,3.61,0.00
