temperature,time,mass,time,mass,delta_mass
140,0,80,0,0.08,
140,3,72,180,0.072,-0.008
140,6,66,360,0.066,-0.006
140,9,60,540,0.06,-0.006
140,12,56,720,0.056,-0.004
140,15,52,900,0.052,-0.004
140,18,49,1080,0.049,-0.003
140,21,46,1260,0.046,-0.003
140,24,43,1440,0.043,-0.003
133,0,31,0,0.031,
133,3,29,180,0.029,-0.002
133,6,27,360,0.027,-0.002
133,9,25,540,0.025,-0.002
133,12,23,720,0.023,-0.002
133,15,20,900,0.02,-0.003
133,18,17,1080,0.017,-0.003
133,21,15,1260,0.015,-0.002
133,24,12,1440,0.012,-0.003
128,0,124,0,0.124,
128,3,120,180,0.12,-0.004
128,6,118,360,0.118,-0.002
128,9,117,540,0.117,-0.001
128,12,115,720,0.115,-0.002
128,15,113,900,0.113,-0.002
128,18,111,1080,0.111,-0.002
128,21,109,1260,0.109,-0.002
128,24,107,1440,0.107,-0.002
123,0,105,0,0.105,
123,3,101,180,0.101,-0.004
123,6,97,360,0.097,-0.004
123,9,94,540,0.094,-0.003
123,12,91,720,0.091,-0.003
123,15,90,900,0.09,-0.001
123,18,89,1080,0.089,-0.001
123,21,88,1260,0.088,-0.001
123,24,87,1440,0.087,-0.001